# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.3044312298297882, 'train/mse_loss': 0.017636222764849663, 'train/n_groups': 3, 'train/total_loss': 0.1610337197780609, 'epoch': 0.31660699531809416}
{'train/listnet_loss': 0.30706170201301575, 'train/mse_loss': 0.0033758878707885742, 'train/n_groups': 3, 'train/total_loss': 0.15521879494190216, 'epoch': 0.31936105755990085}
{'train/listnet_loss': 0.27670228481292725, 'train/mse_loss': 0.0017148784827440977, 'train/n_groups': 2, 'train/total_loss': 0.13920858502388, 'epoch': 0.32211511980170754}
{'train/listnet_loss': 0.26102691888809204, 'train/mse_loss': 0.008200564421713352, 'train/n_groups': 2, 'train/total_loss': 0.1346137374639511, 'epoch': 0.32486918204351417}
{'train/listnet_loss': 0.26082468032836914, 'train/mse_loss': 0.006730527151376009, 'train/n_groups': 2, 'train/total_loss': 0.13377760350704193, 'epoch': 0.32762324428532086}
{'train/listnet_loss': 0.3047860264778137, 'train/mse_loss': 0.009075945243239403, 'train/n_groups': 3, 'train/total_loss': 0.15693098306655884, 'epoch': 0.3303773065271275}
{'eval_loss': 0.0035797033526541147, 'eval_ranking_accuracy': 0.8034065438346703, 'eval_spearman': 0.7444469208838801, 'epoch': 0.33048746901679976}
{'train/listnet_loss': 0.28186166286468506, 'train/mse_loss': 0.004531193524599075, 'train/n_groups': 2, 'train/total_loss': 0.14319643378257751, 'epoch': 0.3331313687689342}
{'train/listnet_loss': 0.2718006670475006, 'train/mse_loss': 0.0035951645113527775, 'train/n_groups': 2, 'train/total_loss': 0.13769792020320892, 'epoch': 0.33588543101074086}
{'train/listnet_loss': 0.31581827998161316, 'train/mse_loss': 0.002280676504597068, 'train/n_groups': 3, 'train/total_loss': 0.15904948115348816, 'epoch': 0.3386394932525475}
{'train/listnet_loss': 0.26962554454803467, 'train/mse_loss': 0.00871339812874794, 'train/n_groups': 2, 'train/total_loss': 0.13916946947574615, 'epoch': 0.3413935554943542}
{'train/listnet_loss': 0.19715949892997742, 'train/mse_loss': 0.008317703381180763, 'train/n_groups': 1, 'train/total_loss': 0.10273860394954681, 'epoch': 0.3441476177361608}
{'train/listnet_loss': 0.2690305709838867, 'train/mse_loss': 0.0037419800646603107, 'train/n_groups': 2, 'train/total_loss': 0.13638627529144287, 'epoch': 0.3469016799779675}
{'train/listnet_loss': 0.2866314947605133, 'train/mse_loss': 0.003700627014040947, 'train/n_groups': 2, 'train/total_loss': 0.1451660543680191, 'epoch': 0.3496557422197742}
{'train/listnet_loss': 0.27555376291275024, 'train/mse_loss': 0.009128483012318611, 'train/n_groups': 2, 'train/total_loss': 0.14234112203121185, 'epoch': 0.3524098044615808}
{'train/listnet_loss': 0.2596859037876129, 'train/mse_loss': 0.007612648885697126, 'train/n_groups': 2, 'train/total_loss': 0.13364927470684052, 'epoch': 0.3551638667033875}
