# Simple Labels + Strong LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# LDCA: Strong weighting (alpha_victim=2.0, alpha_lucky=1.5)
# Metrics: ranking_accuracy, spearman, loss, weight_stats, gradient_norm
# Format: {metrics_dict}

{'train/listnet_loss': 0.36439675092697144, 'train/mse_loss': 0.04908221215009689, 'train/n_groups': 2, 'train/total_loss': 0.20673948526382446, 'train/weight_mean': 1.4005361795425415, 'train/weight_std': 0.21906262636184692, 'train/weight_min': 1.0, 'train/weight_max': 1.7339868545532227, 'train/victim_pct': 81.25, 'train/lucky_pct': 0.0, 'train/agreement_pct': 18.75, 'epoch': 0.13759294960066099}
{'train/listnet_loss': 0.44707566499710083, 'train/mse_loss': 0.00768040819093585, 'train/n_groups': 3, 'train/total_loss': 0.22737804055213928, 'train/weight_mean': 1.4632608890533447, 'train/weight_std': 0.4146044850349426, 'train/weight_min': 1.0, 'train/weight_max': 2.192518949508667, 'train/victim_pct': 62.5, 'train/lucky_pct': 0.0, 'train/agreement_pct': 37.5, 'epoch': 0.14034701184246764}
{'train/listnet_loss': 0.38566944003105164, 'train/mse_loss': 0.00996134802699089, 'train/n_groups': 3, 'train/total_loss': 0.19781538844108582, 'train/weight_mean': 1.2647573947906494, 'train/weight_std': 0.37431633472442627, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 1.8179980516433716, 'train/victim_pct': 56.25, 'train/lucky_pct': 6.25, 'train/agreement_pct': 37.5, 'epoch': 0.1431010740842743}
{'train/listnet_loss': 0.42307496070861816, 'train/mse_loss': 0.0016891052946448326, 'train/n_groups': 3, 'train/total_loss': 0.21238203346729279, 'train/weight_mean': 1.2231358289718628, 'train/weight_std': 0.32363161444664, 'train/weight_min': 0.5325236916542053, 'train/weight_max': 1.708999752998352, 'train/victim_pct': 56.25, 'train/lucky_pct': 12.5, 'train/agreement_pct': 31.25, 'epoch': 0.14585513632608096}
{'train/listnet_loss': 0.3867359757423401, 'train/mse_loss': 0.008862694725394249, 'train/n_groups': 2, 'train/total_loss': 0.19779933989048004, 'train/weight_mean': 1.3750505447387695, 'train/weight_std': 0.3051809072494507, 'train/weight_min': 0.49272000789642334, 'train/weight_max': 1.7989802360534668, 'train/victim_pct': 81.25, 'train/lucky_pct': 6.25, 'train/agreement_pct': 12.5, 'epoch': 0.14860919856788762}
{'train/listnet_loss': 0.3782491683959961, 'train/mse_loss': 0.005038583185523748, 'train/n_groups': 2, 'train/total_loss': 0.1916438788175583, 'train/weight_mean': 1.3480992317199707, 'train/weight_std': 0.3915035128593445, 'train/weight_min': 0.614810585975647, 'train/weight_max': 2.166156768798828, 'train/victim_pct': 62.5, 'train/lucky_pct': 6.25, 'train/agreement_pct': 31.25, 'epoch': 0.1513632608096943}
{'train/listnet_loss': 0.2549811005592346, 'train/mse_loss': 0.004233978223055601, 'train/n_groups': 2, 'train/total_loss': 0.12960754334926605, 'train/weight_mean': 0.9363806247711182, 'train/weight_std': 0.46374690532684326, 'train/weight_min': 0.25, 'train/weight_max': 1.820996880531311, 'train/victim_pct': 18.75, 'train/lucky_pct': 43.75, 'train/agreement_pct': 37.5, 'epoch': 0.15411732305150097}
{'train/listnet_loss': 0.4207659661769867, 'train/mse_loss': 0.008502012118697166, 'train/n_groups': 2, 'train/total_loss': 0.2146339863538742, 'train/weight_mean': 1.5735799074172974, 'train/weight_std': 0.3367832601070404, 'train/weight_min': 1.0, 'train/weight_max': 2.5469412803649902, 'train/victim_pct': 93.75, 'train/lucky_pct': 0.0, 'train/agreement_pct': 6.25, 'epoch': 0.15687138529330763}
{'train/listnet_loss': 0.3182874321937561, 'train/mse_loss': 0.009779655374586582, 'train/n_groups': 2, 'train/total_loss': 0.16403354704380035, 'train/weight_mean': 0.9486591815948486, 'train/weight_std': 0.40561923384666443, 'train/weight_min': 0.35050004720687866, 'train/weight_max': 1.600000023841858, 'train/victim_pct': 31.25, 'train/lucky_pct': 43.75, 'train/agreement_pct': 25.0, 'epoch': 0.1596254475351143}
{'train/listnet_loss': 0.3827338218688965, 'train/mse_loss': 0.008255497552454472, 'train/n_groups': 3, 'train/total_loss': 0.1954946666955948, 'train/weight_mean': 1.2632644176483154, 'train/weight_std': 0.49385207891464233, 'train/weight_min': 0.6331300735473633, 'train/weight_max': 2.65413498878479, 'train/victim_pct': 31.25, 'train/lucky_pct': 6.25, 'train/agreement_pct': 62.5, 'epoch': 0.16237950977692095}
